detector,scope,metric,value,ci_low,ci_high
system_OR,combined set,accuracy,0.9365,0.9333,0.9396
system_OR,combined set,precision,0.8117,0.8026,0.8206
system_OR,combined set,recall,0.9925,0.9903,0.9946
system_OR,combined set,f1,0.893,0.8874,0.8984
system_OR,combined set,fpr,0.0839,0.0799,0.0882
system_OR,combined set,fnr,0.0075,0.0054,0.0097
baseline,combined set,accuracy,0.7555,0.75,0.7615
baseline,combined set,precision,0.5663,0.5503,0.5832
baseline,combined set,recall,0.3623,0.3495,0.3747
baseline,combined set,f1,0.4419,0.4284,0.4545
baseline,combined set,fpr,0.1011,0.0962,0.1057
baseline,combined set,fnr,0.6377,0.6253,0.6505
adapter::role-and-instruction-violation,own test subset,accuracy,0.9735,0.9697,0.9773
adapter::role-and-instruction-violation,own test subset,precision,0.9174,0.9048,0.9303
adapter::role-and-instruction-violation,own test subset,recall,0.9812,0.9749,0.9876
adapter::role-and-instruction-violation,own test subset,f1,0.9483,0.9405,0.9557
adapter::role-and-instruction-violation,own test subset,fpr,0.029,0.0244,0.0338
adapter::role-and-instruction-violation,own test subset,fnr,0.0188,0.0124,0.0251
adapter::privilege-escalation,own test subset,accuracy,0.9708,0.967,0.9746
adapter::privilege-escalation,own test subset,precision,0.9119,0.8999,0.9231
adapter::privilege-escalation,own test subset,recall,0.9861,0.9807,0.9909
adapter::privilege-escalation,own test subset,f1,0.9475,0.9405,0.9543
adapter::privilege-escalation,own test subset,fpr,0.0349,0.0301,0.0397
adapter::privilege-escalation,own test subset,fnr,0.0139,0.0091,0.0193
adapter::obfuscation-and-evasion-patterns,own test subset,accuracy,0.972,0.968,0.9759
adapter::obfuscation-and-evasion-patterns,own test subset,precision,0.9145,0.9029,0.9259
adapter::obfuscation-and-evasion-patterns,own test subset,recall,0.995,0.9916,0.9979
adapter::obfuscation-and-evasion-patterns,own test subset,f1,0.9531,0.9466,0.9594
adapter::obfuscation-and-evasion-patterns,own test subset,fpr,0.0372,0.0319,0.0423
adapter::obfuscation-and-evasion-patterns,own test subset,fnr,0.005,0.0021,0.0084
